study,comparison,log2fc,lfcSE,padj,sample_type,origin,genotype,organism,simple_label
GSE117979,Senescent1_vs_Control1,4.896,1.497,p=0.00356,mouse embryonic fibroblasts,in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE117979,Senescent2_vs_Control2,-0.204,1.062,N.S.,c2 mouse embryonic fibroblasts; c2 mouse embryonic fibroblata; s2 mouse embryonic fibroblasts,in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE117979,Senescent3_vs_Control3,2.002,1.428,N.S.,mouse embryonic fibroblasts,in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE169489,Senescent2_vs_Control1,1.287,2.296,N.S.,MEF14_Dox+_Day8,in vitro,wildtype,mouse,Fibroblasts
GSE176107,Senescent1_vs_Control1,-0.363,1.704,N.S.,mouse tail fibroblast,in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE182731,Senescent2_vs_Control2,1.756,0.877,N.S.,primary mouse lung fibroblasts,in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE182731,Senescent3_vs_Control3,0.516,1.694,N.S.,primary mouse lung fibroblasts,in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE202032,Senescent1_vs_Control1,2.52,0.703,p=0.00161,mouse embryonic fibroblasts,in vitro,wildtype,mouse,Fibroblasts
GSE219126,Senescent1_vs_Control1,1.047,1.69,N.S.,mouse intestinal organoids,in vitro,wildtype C57BL/6,mouse,Other
GSE229010,Senescent1_vs_Control1,2.349,0.758,p=0.00395,primary mouse adult fibroblast,in vitro,wildtype,mouse,Fibroblasts
GSE233718,Senescent1_vs_Control1,1.533,1.702,N.S.,mouse proximal tubular epithelial cells,in vitro,wildtype C57BL/6Rj,mouse,Epithelial
GSE247975,Senescent1_vs_Control1,0.869,0.716,N.S.,mouse fibro-adipogenic progenitors,in vitro,wildtype C57BL/6,mouse,Stromal
GSE281894,Senescent1_vs_Control1,2.066,1.129,N.S.,podocytes,in vitro,wildtype,mouse,Renal
GSE179880,Senescent1_vs_Control1,-0.233,0.896,N.S.,mouse skin fibroblasts,in vitro,wildtype,mouse,Fibroblasts
