study,comparison,log2fc,lfcSE,padj,sample_type,origin,genotype,organism,simple_label
GSE130099,Senescent1_vs_Control1,0.091,0.222,N.S.,human BJ-TERT fibroblasts,in vitro,c1 genetically edited (TERT overexpression); s1 genetically edited (TERT overexpression; myrAKT1 overexpression),human,Fibroblasts
GSE212085,Senescent1_vs_Control1,1.075,0.204,p<0.00001,human foetal lung fibroblast cell line IMR-90,in vitro,wildtype,human,Fibroblasts
GSE224071,Senescent1_vs_Control1,1.251,0.213,p<0.00001,human lung fibroblast cell line,in vitro,wildtype,human,Fibroblasts
GSE53356,Senescent1_vs_Control1,2.388,0.126,p<0.00001,human IMR90 cell line,in vitro,wildtype,human,Fibroblasts
GSE117208,Senescent1_vs_Control1,0.744,0.635,N.S.,mouse embryonic fibroblasts (MEFs),in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE117979,Senescent1_vs_Control1,0.063,0.353,N.S.,mouse embryonic fibroblasts,in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE117979,Senescent2_vs_Control2,0.441,0.352,N.S.,c2 mouse embryonic fibroblasts; c2 mouse embryonic fibroblata; s2 mouse embryonic fibroblasts,in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE117979,Senescent3_vs_Control3,0.66,0.354,N.S.,mouse embryonic fibroblasts,in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE139575,Senescent1_vs_Control1,-0.063,0.094,N.S.,mouse embryonic fibroblasts (MEF),in vitro,c1 wildtype C57BL/6; s1 genetically edited (overexpression of p21),mouse,Fibroblasts
GSE139575,Senescent2_vs_Control1,-0.034,0.094,N.S.,mouse embryonic fibroblasts (MEF),in vitro,genetically edited (overexpression of p16),mouse,Fibroblasts
GSE169489,Senescent2_vs_Control1,-0.785,0.319,p=0.04352,MEF14_Dox+_Day8,in vitro,wildtype,mouse,Fibroblasts
GSE176107,Senescent1_vs_Control1,0.64,0.158,p=0.00020,mouse tail fibroblast,in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE182731,Senescent2_vs_Control2,-0.412,0.125,p=0.00504,primary mouse lung fibroblasts,in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE182731,Senescent3_vs_Control3,-0.088,0.15,N.S.,primary mouse lung fibroblasts,in vitro,wildtype C57BL/6,mouse,Fibroblasts
GSE202032,Senescent1_vs_Control1,0.232,0.193,N.S.,mouse embryonic fibroblasts,in vitro,wildtype,mouse,Fibroblasts
GSE210362,Senescent1_vs_Control1,0.757,0.134,p<0.00001,murine embryonic fibroblasts,in vitro,c1 wildtype; s1 genetically edited (Myc knockout),mouse,Fibroblasts
GSE218683,Senescent1_vs_Control1,0.186,0.342,N.S.,mouse embryonic fibroblasts,in vitro,wildtype,mouse,Fibroblasts
GSE218683,Senescent2_vs_Control2,0.281,0.342,N.S.,mouse embryonic fibroblasts,in vitro,wildtype,mouse,Fibroblasts
GSE218684,Senescent1_vs_Control1,-0.77,0.392,N.S.,mouse embryonic fibroblast,in vitro,wildtype,mouse,Fibroblasts
GSE218684,Senescent2_vs_Control2,-0.753,0.376,N.S.,mouse embryonic fibroblast,in vitro,wildtype,mouse,Fibroblasts
GSE219126,Senescent1_vs_Control1,-1.463,0.506,p=0.02630,mouse intestinal organoids,in vitro,wildtype C57BL/6,mouse,Other
GSE229010,Senescent1_vs_Control1,-0.973,0.15,p<0.00001,primary mouse adult fibroblast,in vitro,wildtype,mouse,Fibroblasts
GSE233718,Senescent1_vs_Control1,2.405,0.273,p<0.00001,mouse proximal tubular epithelial cells,in vitro,wildtype C57BL/6Rj,mouse,Epithelial
GSE247975,Senescent1_vs_Control1,0.351,0.168,N.S.,mouse fibro-adipogenic progenitors,in vitro,wildtype C57BL/6,mouse,Stromal
GSE278372,Senescent1_vs_Control1,0.294,0.362,N.S.,primary mouse embryonic fibroblasts,in vitro,wildtype,mouse,Fibroblasts
GSE278372,Senescent2_vs_Control2,0.027,0.309,N.S.,primary mouse embryonic fibroblasts,in vitro,wildtype,mouse,Fibroblasts
GSE279349,Senescent1_vs_Control1,0.195,0.245,N.S.,primary mouse embryonic fibroblasts,in vitro,wildtype,mouse,Fibroblasts
GSE279349,Senescent2_vs_Control1,0.282,0.246,N.S.,primary mouse embryonic fibroblasts,in vitro,wildtype,mouse,Fibroblasts
GSE281894,Senescent1_vs_Control1,0.452,0.24,N.S.,podocytes,in vitro,wildtype,mouse,Renal
